TEMA,SUBTEMA,SUBCATEGORIA,PREGUNTA,RESPUESTA
Trigonometría,Funciones trigonometricas ,Usa la identidad pitagorica ,"El angulo de teta está en el cuadrante 2, y seno de teta = 1/4. Calcula el coseno de teta ¡¡¡Ojo, esta respuesta es o incluye una fracción!!!",-sqrt(15/4)
Trigonometría,Funciones trigonometricas ,Usa la identidad pitagorica ,"El angulo de teta esta en el cuadrante 3, y coseno de teta = -5/8. Calcula el seno de teta.  ¡¡¡Ojo, esta respuesta es o incluye una fracción!!!",-sqrt(39/8)
Trigonometría,Funciones trigonometricas ,Valores trigonometricos de angulos especiales ,"Calcula el coseno de 150° ¡¡¡Ojo, esta respuesta es o incluye una fracción!!!",-sqrt(3/2)
Trigonometría,Funciones trigonometricas ,Valores trigonometricos de angulos especiales ,"Calcula el seno de 150° ¡¡¡Ojo, esta respuesta es o incluye una fracción!!!",1/2
Trigonometría,Funciones trigonometricas ,Valores trigonometricos de angulos especiales ,"Calcula el coseno de 315° ¡¡¡Ojo, esta respuesta es o incluye una fracción!!!",sqrt(2/2)
Trigonometría,Funciones trigonometricas ,Valores trigonometricos de angulos especiales ,"Calcula el seno de 315° ¡¡¡Ojo, esta respuesta es o incluye una fracción!!!",-sqrt(2/2)
Trigonometría,Funciones trigonometricas ,Valores trigonometricos de angulos especiales ,"Calcula el seno de (4pi/3) ¡¡¡Ojo, esta respuesta es o incluye una fracción!!!",-sqrt(3/2)
Trigonometría,Identidades y ecuaciones trigonometricas,Evalua Funciones trigonometricas inversas ,¿Cual es el valor principal de tan^-1(-21)?,-1.52
Trigonometría,Identidades y ecuaciones trigonometricas,Evalua Funciones trigonometricas inversas ,¿Cuál es el valor principal de cos^-1(0.69)?,46.4
Trigonometría,Identidades y ecuaciones trigonometricas,Evalua Funciones trigonometricas inversas ,¿Cuál es el valor principal de arcsin(0.36)?,21.1
Trigonometría,Identidades y ecuaciones trigonometricas,Evalua Funciones trigonometricas inversas ,¿Cuál es el valor principal de tan^-1(-44)?,-88.7
Trigonometría,Identidades y ecuaciones trigonometricas,Evalua Funciones trigonometricas inversas ,¿Cuál es el valor principal de sin^-1(0.43)?,0.44
Trigonometría,Identidades y ecuaciones trigonometricas,Problemas verbales de modelos sinusoidales,"Hambriento Harry es un ogro gigante con un apetito que varía a lo largo del día. H(t) modela el peso (en kg) de un cordero que Harry quiere devorar ttt horas después de despertar. Aquí t se ingresa en radianes.H(t)= 12sin(2pi/24)t + 15. ¿Cual es la segunda vez, desde que Harry despierta, que quiere comer 17kg de cordero?",11.4
Trigonometría,Identidades y ecuaciones trigonometricas,Problemas verbales de modelos sinusoidales,"Un camion de helados con musica muy ruidosa da vueltas por el vecindario de Bulan. C(t) modela el volumen de la musica en dB que Bulan oye, t minutos despues que el camion llega al vecindario. Aqui t se ingresa en radianes. C(t)= -15cos(2pi/15)t+65. ¿Cuantos minutos despues de que llega el camion el volumen alcanza 75dB por primera vez? Redondea tu respuesta final a la decima de minuto mas cercana ",5.5
Trigonometría,Identidades y ecuaciones trigonometricas,Problemas verbales de modelos sinusoidales,"T(t) modela la temperatura máxima diaria (C°) en Santiago de Chile, t días después del día más caluroso del año. Aquí t se ingresa en radianes. T(t)= 7.5cos(2pi/365)t + 21.5. ¿Cualo es la segunda vez, despues del dia mas caluroso del año, que la temperatura maxima diaria alcanza 20°C.",262
Trigonometría,Identidades y ecuaciones trigonometricas,Problemas verbales de modelos sinusoidales,"M(t) modela la distancia (en millones km) de Marte al Sol, t días después de estar en su posición más lejana. Aquí t se ingresa en radianes. M(t)=21cos(2pi/687)t+228. ¿Cuántos dias despues Marte llega por primera vez a 220 millones de km del Sol? Redondea tu respuesta final al dia completo mas cercano",214
Trigonometría,Identidades y ecuaciones trigonometricas,Problemas verbales de modelos sinusoidales,"Lena toca su acordeón al comprimirlo y estirarlo. La longitud del acordeón (en cm), t segundos después desde que está completamente estirado, se modela con A(t). Aquí t se ingresa en radianes. A(t)= 25cos(pi*t)+65. ¿Cuanto tiempo le toma a Lena comprimir el acordeón completamente y estirarlo a una longitud de 50cm? Redondea tu respuesta final a la decima de segundo mas cercana. 
A(t) = {25}\cos\left(\pi t\right) + 65",1.3
Trigonometría,Identidades y ecuaciones trigonometricas,Cuestionario 1,¿Cual es el valor principal de arcos(-0.65)?,2.28
Trigonometría,Identidades y ecuaciones trigonometricas,Cuestionario 1,"W(t),modela el nivel diario de agua (en cm) en un estanque de Arizona, t días después del día más caluroso del año. Aquí t se ingresa en radianes. W(t)=15cos(2pi/365)t+43. ¿Cuál es la primera vez, después del día más caluroso del año, que el nivel del agua es 30cm?
Redondea tu respuesta final al día completo más cercano.",152
Trigonometría,Identidades y ecuaciones trigonometricas,Cuestionario 1,¿Cual es el valor principal de tan-1(-1.4)?,-0.95
Trigonometría,Identidades y ecuaciones trigonometricas,Cuestionario 1,"E(t), modela la cantidad diaria de energía (en kilojoules,kJ) que genera un panel solar en Pago Pago t días después del equinoccio de otoño. Aquí t se ingresa en radianes. E(t)=624sin(2pi/365)t + 8736. ¿Cuál es el primer dia, despues del equinoccio de otoño, en el que el panel genera 8400kJ? Redondea tu respuesta final al día completo mas cercano. ",216
Trigonometría,Identidades y ecuaciones trigonometricas,Cuestionario 1,¿Cuál es el valor principal de arccos (-1)?,180
Geometría,Semejanza,Introducción a ecuaciones racionales,"Despeja q cuando 10/(2q+8)=10 ¡¡¡Ojo, esta respuesta es o incluye una fracción!!!",-7/2
Geometría,Semejanza,Introducción a ecuaciones racionales,"Despeja r cuando (4r-6)/(r-7) = 1/2 ¡¡¡Ojo, esta respuesta es o incluye una fracción!!!",5/7
Geometría,Semejanza,Introducción a ecuaciones racionales,"Despeja r cuando (4r)/(5r+6) = 1/6 ¡¡¡Ojo, esta respuesta es o incluye una fracción!!!",6/19
Geometría,Semejanza,Introducción a ecuaciones racionales,Despeja r cuadno (-8)/(r+6) = 4,-8
Geometría,Semejanza,Introducción a ecuaciones racionales,"Despeja x cuando (5x-5)/(x-2) = 1/3 ¡¡¡Ojo, esta respuesta es o incluye una fracción!!!",13/14
Geometría,Semejanza,Introducción a ecuaciones racionales,"Despeja k cuadno (5k-2)/3k = 7 ¡¡¡Ojo, esta respuesta es o incluye una fracción!!!",-1/8
Geometría,Semejanza,Introducción a ecuaciones racionales,"Despeja k cuando 3/2k = 5 ¡¡¡Ojo, esta respuesta es o incluye una fracción!!!",3/10
Geometría,Semejanza,Introducción a ecuaciones racionales,"Despeja y cuando (y-1)/(3y+7) = 1/10 ¡¡¡Ojo, esta respuesta es o incluye una fracción!!!",17/7
Geometría,Semejanza,Introducción a ecuaciones racionales,"Despeja t cuando (t+9)/(t+4) = 5 ¡¡¡Ojo, esta respuesta es o incluye una fracción!!!",-11/4
Geometría,Semejanza,Introducción a ecuaciones racionales,Despeja n cuando (4n-2)/(2n) = 7,-0.2
Geometría,Semejanza,Introducción a ecuaciones racionales,Despeja q cuando (10)/(2q+8) = 1/10,46
Geometría,Semejanza,Introducción a ecuaciones racionales,"Despeja p cuando (2p+1)/(5p+6) = 1/7 ¡¡¡Ojo, esta respuesta es o incluye una fracción!!!",-1/9
Geometría,Semejanza,Introducción a ecuaciones racionales,"Despeja y cuando (2y-4)/(y+7) = 1/3 ¡¡¡Ojo, esta respuesta es o incluye una fracción!!!",19/5
Geometría,Semejanza,Introducción a ecuaciones racionales,Despeja k cuando (6)/(2k-6)=3,4
Geometría,Semejanza,Introducción a ecuaciones racionales,"Despeja x cuando (3x-2)/(3x+1) = 1/3 ¡¡¡Ojo, esta respuesta es o incluye una fracción!!!",7/6
Geometría,Triangulos rectánuglos y trigonometría ,Desafío con el teorema de Pitágoras,El superyate Tetrahedron es un tetraedro regular con aristas de 20m de longitud. La distancia r de una esquina al centro de la base es de 11.5. ¿Cual es la altura vertical h del tetraedro? Redondea tu respuesta a la decima de metro mas cercana ,16.4
Geometría,Triangulos rectánuglos y trigonometría ,Desafío con el teorema de Pitágoras,"Ryan va a colocar un tendedero para ropa en su patio trasero rectangular. QUiere colgarlo entre dos arboles en el borde de su terreno. Midió su terreno, y la medida le dio 10m de largo por un lado antes de colgar la soga, y 25m del otro antes de colgar la otra punta de la soga, y de alto midio 20cm. ¿Cual es la minima longitud de cuerda que Ryan puede comprar para que se extienda de un árbol al otro? ",25
Geometría,Triangulos rectánuglos y trigonometría ,Desafío con el teorema de Pitágoras,"Un constructor coloca tuberias de drenaje que descienden 1cm cada 30cm horizontales, para evitar obstrucciones. Cierta tuberia deberia de curbir una distancia horizontal de 700cm. ¿Cual es la longitud l de esta tuberia? Redondea tu respuesta a la centesima de metro mas cercana",700.4
Geometría,Triangulos rectánuglos y trigonometría ,Desafío con el teorema de Pitágoras,"El Museu Blau en Barcelona, España, es un museo de ciencias naturales construido en forma de prisma triangular. La base del edificio es un triángulo equilátero de 180 metros en cada lado. La altura del prisma es 25m. Determina la altura h de la base triangular. Redonde tu respuesta a la decima mas cercana. ",155.9
Geometría,Triangulos rectánuglos y trigonometría ,Desafío con el teorema de Pitágoras,"Un constructor hace escaleras con cada escalón de 28cm de largo y elevacion de 18cm, para que la gente no se tropiece. Todas las escaleras tienen un larguero: un soporte diagonal que conecta los escalones. Cierta escalera tiene 6 escalones. ¿Cuál es la longitud l del larguero para esta escalera?",199.7
Geometría,Triangulos rectánuglos y trigonometría ,Desafío con el teorema de Pitágoras,"El Palacio de paz y acuerdo en Astana, Kazakhstan, fue construido en 2006. El edificio tiene una estructura de pirámide recta con base cuadrada. La longitud de un lado de la base cuadrada es 62m, y la altura vertical de la pirámides también es 62m.¿Cual es la altura diagonal l de una de las caras triangulares? Redondea tu respuesta a la décima de metro más cercana",69.3
Geometría,Triangulos rectánuglos y trigonometría ,Desafío con el teorema de Pitágoras,"Carroll anda en bicicleta 1 kilómetro al este, 4 kilómetros al norte y después 5 de nuevo al este. ¿Que tan lejos está Carroll de su posicion original? Redondea tu respuesta a la décima de kilómetro más cercana. ",77.1
Geometría,Triangulos rectánuglos y trigonometría ,Desafío con el teorema de Pitágoras,"Un constructor hace todas sus rampas con razón 12:1, de base a altura, para que sean accesibles con sillas de ruedas. Cierta rampa necesita llegar a 0.8 metros de altura. ¿Cual es la longitud l de esta rampa? Redondea tu respuesta a la centesima de metro mas cercana.",9.63
Geometría,Triangulos rectánuglos y trigonometría ,Desafío con el teorema de Pitágoras,"Un astabandera se rompió en una tormenta. Originalmente era de 81 pies de alto. Todavía quedan 28 que salen del suelo en donde se rompió, pero el resto del asta se venció y está tocando el piso en algún sitio que está a cierta distancia. ¿Qué tan lejos está el extremo del asta de la base del asta a lo largo del suelo? ",45
Geometría,Triangulos rectánuglos y trigonometría ,Desafío con el teorema de Pitágoras,El Pyraminx es un juguete parecido al cubo de Rubik en forma de pirámide basada en triángulos. La longitud de cada arista del Pyraminx mostrado es 15cm. La altura de la pirámides es h=12.2cm. El triángulo dibujado con líneas punteadas es un triángulo rectángulo. ¿Cual es el radio r de la base de la piramide? Redondea tu respuesta a la decima de centimetro mas cercana. ,8.7
Geometría,Triangulos rectánuglos y trigonometría ,Desafío con el teorema de Pitágoras,"Julian trota 2 kilómetros al este, 4 kilómetros al norte y luego 7 kilómetros al oeste.",6.4
Geometría,Triangulos rectánuglos y trigonometría ,Desafío con el teorema de Pitágoras,"Un monumento en forma de un triángulo rectángulo yace sobre un pedestal rectangular de 5 metros de altura y 11 metros de largo. El lado más largo del monumento triangular mide 61 metros. ¿A que distancia del piso está la punta del monumento?
",65
Geometría,Triangulos rectánuglos y trigonometría ,Desafío con el teorema de Pitágoras,"Un astabandera se rompió durante una tormenta. 7 metros todavía sobresalen del suelo en donde se rompió, pero el resto del asta se venció y está tocando el piso en un punto que se encuentra a una distancia de 24 metros horizontalmente. ¿Qué tan alta era el astabandera antes de romperse?",32
Geometría,Triangulos rectánuglos y trigonometría ,Desafío con el teorema de Pitágoras,El superyate Tetrahedron diseñado por Jonathan Shwinge es un tetraedro regular con aristas de 20m de longitud. La distancia r de una esquina al centro de la base (se muestra en la imagen abajo) es 11.5m. ¿Cuál es la altura vertical hhh del tetraedro? Redondea tu respuesta a la décima de metro más cercana.,16.4
Geometría,Triangulos rectánuglos y trigonometría ,Desafío con el teorema de Pitágoras,"Ryan va a colocar un tendedero para ropa en su patio trasero rectangular. QUiere colgarlo entre dos arboles en el borde de su terreno. Midió su terreno, y la medida le dio 10m de largo por un lado antes de colgar la soga, y 25m del otro antes de colgar la otra punta de la soga, y de alto midio 20cm. ¿Cual es la minima longitud de cuerda que Ryan puede comprar para que se extienda de un árbol al otro? ",25
Geometría,Geometría analítica,La distancia entre dos puntos ,"¿Cuál es la distancia entre (-5,-5) y (-9,-2)? De ser la respuesta con raiz, porfavor ingresalo como sqrt(respuesta)",5
Geometría,Geometría analítica,La distancia entre dos puntos ,"¿Cuál es la distancia entre (-6,4) y (-8,6)? De ser la respuesta con raiz, porfavor ingresalo como sqrt(respuesta)",sqrt(8)
Geometría,Geometría analítica,La distancia entre dos puntos ,"¿Cuál es la distancia entre (-5,-6) y (-3,-8)? De ser la respuesta con raiz, porfavor ingresalo como sqrt(respuesta)",sqrt(8)
Geometría,Geometría analítica,La distancia entre dos puntos ,"¿Cuál es la distancia entre (-9,-6) y (-2,-2)? De ser la respuesta con raiz, porfavor ingresalo como sqrt(respuesta)",sqrt(65)
Geometría,Geometría analítica,La distancia entre dos puntos ,"¿Cuál es la distancia entre (-6,8) y (-3,9)? De ser la respuesta con raiz, porfavor ingresalo como sqrt(respuesta)",sqrt(10)
Geometría,Geometría analítica,La fórmula del punto medio,"El punto A esta en (-2,4) y el punto M, en (2.5,3.5). El punto M es el punto medio del punto A y el punto B. ¿Cuáles son las coordenadas del punto B? Ingresa tu respuesta en formato (Respuesta, Respuesta)","(7,3)"
Geometría,Geometría analítica,La fórmula del punto medio,"El punto A esta en (-1,8) y el punto B, en (7,3). ¿Cuál es el punto medio del segmento de la recta AB? Ingresa tu respuesta en formato (Respuesta, Respuesta). ","(3,5.5)"
Geometría,Geometría analítica,La fórmula del punto medio,"El punto A está en (-5,-4) y el punto M, en (0,-3.5). El punto M es el punto medio del punto A y el punto B. ¿Cuáles son las coordenadas del punto B? Porfavor ingresa tu respuesta en formato (respuesta, respuesta)","(5,-3)"
Geometría,Geometría analítica,La fórmula del punto medio,"El punto A está en (3,4) y el punto B en (8,-4). Cuál es el punto medio del segmento de recta AB? Porfavor ingresa tu respuesta en formato (respuesta, respuesta)","(5.5,0)"
Geometría,Geometría analítica,La fórmula del punto medio,"El punto A está en (3,-8) y el punto M en (5,-2.5). El punto M es el punto medio del punto A y el punto B. ¿Cuáles son las coordenadas del punto B? Porfavor ingresa tu respuesta en formato (Respuesta, Respuesta)","(7,3)"
Geometría,Geometría analítica,Divide segmentos de recta,"El punto A está en (2,-8) y el punto C está en (-4,7). Determina las coordenadas del punto B en AC, tales que la razón de AB a BC sea 2:1. Porfavor ingresa tu respuesta en formato (Respuesta,Respuesta)","(-2,2)"
Geometría,Geometría analítica,Divide segmentos de recta,"El punto A está en (-7,5) y el punto C está en (5,-1). Determina las coordenadas del punto B en AC, tales que AB sea 5 veces el largo de BC. Porfavor ingresa tu respuesta en formato (respuesta,respuesta). ","(3,0)"
Geometría,Geometría analítica,Divide segmentos de recta,"El punto A está en (-2,4) y el punto C está en (4,7). Determina las coordenadas del punto B en AC, tales que la razón de AB ia AC sea 1:3. Porfavor ingresa tu respuesta en formato (respuesta,respuesta)","(0,5)"
Geometría,Geometría analítica,Divide segmentos de recta,"El punto A está en (6,-6) y el punto C está en (-6,-2). Determina las coordenadas del punto B en AC, tales que AB=3/4AC. Porfavor ingresa tu respuesta en formato (respuesta, respuesta). ","(-3,-3)"
Geometría,Geometría analítica,Divide segmentos de recta,"El punto A está en (-6,-5) y el punto C está en (4,0). Determina las coordenadas del punto B en AC, tales que la razón de AB a BC sea 2:3. Porfavor ingresa tu respuesta en formato (respuesta, respuesta)","(-2,-3)"
Funciones,Funciones basicas,Evalúa Funciones ,f(x) = 5x-3. Ahora evalua esta función para f(5),22
Funciones,Funciones basicas,Evalúa Funciones ,k(t)=10t-19. Ahora evalua esta función para k(-7),-89
Funciones,Funciones basicas,Evalúa Funciones ,k(t)=13t-2. Ahora evalua esta función para k(3),37
Funciones,Funciones basicas,Evalúa Funciones ,f(t)=2t-3. Ahora evalua esta función para f(7),11
Funciones,Funciones basicas,Evalúa Funciones ,g(r)= -1=-7r. Ahora evalua esta función para g(6),-43
Funciones,Funciones basicas,Evalúa expresiones de funciones,−1⋅f(−9)+7⋅g(6) = respuesta,38
Funciones,Funciones basicas,Evalúa expresiones de funciones,10⋅f(7)+9⋅g(−1)= respuesta,-1
Funciones,Funciones basicas,Evalúa expresiones de funciones,−3⋅f(−8)+7⋅g(2)= respuesta ,-22
Funciones,Funciones basicas,Evalúa expresiones de funciones,5⋅f(1)+5⋅g(9)= respuesta,-55
Funciones,Funciones basicas,Evalúa expresiones de funciones,−1⋅f(−8)−4⋅g(4)= respuesta,-7
Funciones,Funciones basicas,Escribir funciones a partir de ecuaciones,"Para un valor de entrada m, la funcion f devuelve el valor de salida m que satisface la siguiente ecuación: 7m+2=6n-5. Escribe una formula para f(m) en terminos de m. ¡¡¡Ojo, esta respuesta es o incluye una fracción!!!",f(m)=7/6m + 7/6
Funciones,Funciones basicas,Escribir funciones a partir de ecuaciones,"Para un valor de entrada n, la función g devuelve el valor de salida m que satisface la siguiente ecuación: 3m-5n=11. Escribe una fórmula para g(n) en terminos de n. ¡¡¡Ojo, esta respuesta es o incluye una fracción!!!",g(n)=5/3n + 11/3
Funciones,Funciones basicas,Escribir funciones a partir de ecuaciones,"Para un valor r, la función g devuelve el valor de salida q que satisface la siguiente ecuación: 10q-r=14. Escribe una formula para g(r) en terminos de r.  ¡¡¡Ojo, esta respuesta es o incluye una fracción!!!",g(r)=3/10r + 7/5
Funciones,Funciones basicas,Escribir funciones a partir de ecuaciones,"Para un valor de entrada b, la función g devuelve el valor de salida a que satisface la siguiente ecuación: a-7=3(b+2). Escribe una fórmula para g(b) en términos de b.  ¡¡¡Ojo, esta respuesta es o incluye una fracción!!!",g(b)=3b + 13
Funciones,Funciones basicas,Escribir funciones a partir de ecuaciones,"Para un valor de entrada x, la función g devuelve el valor de salida y que satisface la siguiente ecuación: -4x-6=-5y+2. Escribe una fórmula para g(x) en términos de x.  ¡¡¡Ojo, esta respuesta es o incluye una fracción!!!",g(x)=4/5x + 8/5
Funciones,Valores de entrada y salida de una ,Entradas y salidas de funciones: ecuaciones,f(t) = -3t + 4. ¿Cuál sería el valor de t para que el resultado final de 19? ,-5
Funciones,Valores de entrada y salida de una ,Entradas y salidas de funciones: ecuaciones,f(t)=−2t+5. ¿Cuál sería el valor de t para que el resultado final de 13?,-4
Funciones,Valores de entrada y salida de una ,Entradas y salidas de funciones: ecuaciones,g(t)=6t−1. ¿Cuál sería el valor de t para que el resultado de -7?,-1
Funciones,Valores de entrada y salida de una ,Entradas y salidas de funciones: ecuaciones,h(x)=x−11. ¿Cuál sería el valor de x para que el resultado de -5?,6
Funciones,Valores de entrada y salida de una ,Entradas y salidas de funciones: ecuaciones,g(x)=−3x−8. ¿Cuál sería el valor de x para que el resultado de 10?,-6
Funciones,Valores de entrada y salida de una ,Encuentra funciones compuestas,g(x)=3-x^2 y h(x)=4-3x. Escribe (g o h)(x) en terminos de x. ,(g o h)(x)=-9x^2 + 24x - 13
Funciones,Valores de entrada y salida de una ,Encuentra funciones compuestas,f(x) =2x+3 y g(x)=x^2 - 3x + 1. Escribe g(f(x)) como una expresión en términos de x ,g(f(x))=2x^2+6x+1
Funciones,Valores de entrada y salida de una ,Encuentra funciones compuestas,"f(x)=7x+2 y g(x)=x^2/(x-5). Escribe g o f)(x) como una expresión en términos de x.  ¡¡¡Ojo, esta respuesta es o incluye una fracción!!!",(g o f)(x)=(49x^2+28x+4)/(7x-3)
Funciones,Valores de entrada y salida de una ,Encuentra funciones compuestas,g(x)=9x-2 & h(x)=3x^2+2x. Escribe h(g(x)) como una expresión en términos de x. ,h(g(x))=243x^2-90x+8
Funciones,Valores de entrada y salida de una ,Encuentra funciones compuestas,f(x)=2x^3+8 & h(x)= cbrt(12-5x). Escribe (f o h)(x) como una expresión en términos de x. ,(f o h)(x)=32-10x
Funciones,Valores de entrada y salida de una ,Determinar inversas de funciones lineales ,"¿Cuál es la inversa de la función f(x)=3x-2f(x)=3x−2? ¡¡¡Ojo, esta respuesta es o incluye una fracción!!!",f-1(x)=(x+2)/3
Funciones,Valores de entrada y salida de una ,Determinar inversas de funciones lineales ,"¿Cuál es la inversa de la función h(x) = 3/2(x-11)? ¡¡¡Ojo, esta respuesta es o incluye una fracción!!!",h-1(x)=2/3x+11
Funciones,Valores de entrada y salida de una ,Determinar inversas de funciones lineales ,"¿Cuál es la inversa de la función g(x)=-2(x-4)? ¡¡¡Ojo, esta respuesta es o incluye una fracción!!!",g-1(x)=-1/2x+4
Funciones,Valores de entrada y salida de una ,Determinar inversas de funciones lineales ,"¿Cuál es la inversa de la función g(x)=5(x-2)? ¡¡¡Ojo, esta respuesta es o incluye una fracción!!!",g-1(x)=1/5x+2
Funciones,Valores de entrada y salida de una ,Determinar inversas de funciones lineales ,"¿Cuál es la inversa de la función g(x)=-2/5x+3? ¡¡¡Ojo, esta respuesta es o incluye una fracción!!!",g-1(x)=-5/2(x-3)